Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
404电流,MD100,Float,1,RO,1000,,,,,,,,,,,
301电流,MD104,Float,1,RO,1000,,,,,,,,,,,
121电流,MD108,Float,1,RO,1000,,,,,,,,,,,
141电流,MD112,Float,1,RO,1000,,,,,,,,,,,
311a电流,MD116,Float,1,RO,1000,,,,,,,,,,,
311b电流,MD120,Float,1,RO,1000,,,,,,,,,,,
324a电流,MD124,Float,1,RO,1000,,,,,,,,,,,
324b电流,MD128,Float,1,RO,1000,,,,,,,,,,,
药剂消耗1瞬时量,MD132,Float,1,RO,1000,,,,,,,,,,,
药剂消耗2瞬时量,MD136,Float,1,RO,1000,,,,,,,,,,,
风量电磁流量计,MD140,Float,1,RO,1000,,,,,,,,,,,
ZDJX浊度,MD144,Float,1,RO,1000,,,,,,,,,,,
ND1X浓度1,MD148,Float,1,RO,1000,,,,,,,,,,,
ND2X浓度2,MD152,Float,1,RO,1000,,,,,,,,,,,
分级旋流器压力,MD156,Float,1,RO,1000,,,,,,,,,,,
313合介桶液位,MD160,Float,1,RO,1000,,,,,,,,,,,
315磁尾桶液位,MD164,Float,1,RO,1000,,,,,,,,,,,
331煤泥桶液位,MD168,Float,1,RO,1000,,,,,,,,,,,
清水桶液位,MD172,Float,1,RO,1000,,,,,,,,,,,
压榨水桶液位,MD176,Float,1,RO,1000,,,,,,,,,,,
压滤机入料桶液位,MD180,Float,1,RO,1000,,,,,,,,,,,
循环水池液位,MD184,Float,1,RO,1000,,,,,,,,,,,
事故池液位,MD188,Float,1,RO,1000,,,,,,,,,,,
121AWTA瞬时流量,MD192,Float,1,RO,1000,,,,,,,,,,,
301AWTA瞬时流量,MD196,Float,1,RO,1000,,,,,,,,,,,
701AWTA瞬时流量,MD200,Float,1,RO,1000,,,,,,,,,,,
702AWTA瞬时流量,MD204,Float,1,RO,1000,,,,,,,,,,,
902Y开度反馈1,MD208,Float,1,RO,1000,,,,,,,,,,,
902Y开度反馈2,MD212,Float,1,RO,1000,,,,,,,,,,,
127Z开度反馈1,MD216,Float,1,RO,1000,,,,,,,,,,,
127Z开度反馈2,MD220,Float,1,RO,1000,,,,,,,,,,,
重介系统分流阀FK,MD224,Float,1,RO,1000,,,,,,,,,,,
清水桶补水阀FK,MD228,Float,1,RO,1000,,,,,,,,,,,
压榨水桶补水阀FK,MD232,Float,1,RO,1000,,,,,,,,,,,
循环水池补水阀FK,MD236,Float,1,RO,1000,,,,,,,,,,,
煤泥水桶补水阀FK,MD240,Float,1,RO,1000,,,,,,,,,,,
磁尾桶补水阀FK,MD244,Float,1,RO,1000,,,,,,,,,,,
合介桶补水阀FK,MD248,Float,1,RO,1000,,,,,,,,,,,
原煤缓冲仓料位,MD252,Float,1,RO,1000,,,,,,,,,,,
矸石仓料位,MD256,Float,1,RO,1000,,,,,,,,,,,
原煤储煤场料位1,MD260,Float,1,RO,1000,,,,,,,,,,,
原煤储煤场料位2,MD264,Float,1,RO,1000,,,,,,,,,,,
322BX密度,MD268,Float,1,RO,1000,,,,,,,,,,,
701电流,MD272,Float,1,RO,1000,,,,,,,,,,,
702电流,MD276,Float,1,RO,1000,,,,,,,,,,,
GL1频率反馈1,MD280,Float,1,RO,1000,,,,,,,,,,,
GL2频率反馈2,MD284,Float,1,RO,1000,,,,,,,,,,,
129Z开度反馈1,MD288,Float,1,RO,1000,,,,,,,,,,,
129Z开度反馈2,MD292,Float,1,RO,1000,,,,,,,,,,,
131Z开度反馈1,MD296,Float,1,RO,1000,,,,,,,,,,,
131Z开度反馈2,MD300,Float,1,RO,1000,,,,,,,,,,,
311ZW轴伸端轴温度,MD304,Float,1,RO,1000,,,,,,,,,,,
311ZW非轴伸端温度,MD308,Float,1,RO,1000,,,,,,,,,,,
311ZW定子A相温度,MD312,Float,1,RO,1000,,,,,,,,,,,
311ZW定子B相温度,MD316,Float,1,RO,1000,,,,,,,,,,,
311ZW定子C相温度,MD320,Float,1,RO,1000,,,,,,,,,,,
324ZW轴伸端轴温度,MD324,Float,1,RO,1000,,,,,,,,,,,
324ZW非轴伸端温度,MD328,Float,1,RO,1000,,,,,,,,,,,
324ZW定子A相温度,MD332,Float,1,RO,1000,,,,,,,,,,,
324ZW定子B相温度,MD336,Float,1,RO,1000,,,,,,,,,,,
324ZW定子C相温度,MD340,Float,1,RO,1000,,,,,,,,,,,
301ZW轴伸端轴温度,MD344,Float,1,RO,1000,,,,,,,,,,,
301ZW非轴伸端轴温度,MD348,Float,1,RO,1000,,,,,,,,,,,
301ZW定子A相温度,MD352,Float,1,RO,1000,,,,,,,,,,,
301ZW定子B相温度,MD356,Float,1,RO,1000,,,,,,,,,,,
301ZW定子C相温度,MD360,Float,1,RO,1000,,,,,,,,,,,
121ZW轴伸端轴温度,MD364,Float,1,RO,1000,,,,,,,,,,,
121ZW非轴伸端轴温度,MD368,Float,1,RO,1000,,,,,,,,,,,
121ZW定子A相温度,MD372,Float,1,RO,1000,,,,,,,,,,,
121ZW定子B相温度,MD376,Float,1,RO,1000,,,,,,,,,,,
121ZW定子C相温度,MD380,Float,1,RO,1000,,,,,,,,,,,
141ZW轴伸端轴温度,MD384,Float,1,RO,1000,,,,,,,,,,,
141ZW非轴伸端轴温度,MD388,Float,1,RO,1000,,,,,,,,,,,
141ZW定子A相温度,MD392,Float,1,RO,1000,,,,,,,,,,,
141ZW定子B相温度,MD396,Float,1,RO,1000,,,,,,,,,,,
141ZW定子C相温度,MD400,Float,1,RO,1000,,,,,,,,,,,
702ZW轴伸端轴温度,MD404,Float,1,RO,1000,,,,,,,,,,,
702ZW非轴伸端轴温度,MD408,Float,1,RO,1000,,,,,,,,,,,
702ZW定子A相温度,MD412,Float,1,RO,1000,,,,,,,,,,,
702ZW定子B相温度,MD416,Float,1,RO,1000,,,,,,,,,,,
702ZW定子C相温度,MD420,Float,1,RO,1000,,,,,,,,,,,
701ZW轴伸端轴温度,MD424,Float,1,RO,1000,,,,,,,,,,,
701ZW非轴伸端轴温度,MD428,Float,1,RO,1000,,,,,,,,,,,
701ZW定子A相温度,MD432,Float,1,RO,1000,,,,,,,,,,,
701ZW定子B相温度,MD436,Float,1,RO,1000,,,,,,,,,,,
701ZW定子C相温度,MD440,Float,1,RO,1000,,,,,,,,,,,
902频率反馈,MD444,Float,1,RO,1000,,,,,,,,,,,
903频率反馈,MD448,Float,1,RO,1000,,,,,,,,,,,
127频率反馈,MD452,Float,1,RO,1000,,,,,,,,,,,
128频率反馈,MD456,Float,1,RO,1000,,,,,,,,,,,
129开度反馈,MD460,Float,1,RO,1000,,,,,,,,,,,
130开度反馈,MD464,Float,1,RO,1000,,,,,,,,,,,
131开度反馈,MD468,Float,1,RO,1000,,,,,,,,,,,
132开度反馈,MD472,Float,1,RO,1000,,,,,,,,,,,
712Z1#闸门开度反馈1,MD476,Float,1,RO,1000,,,,,,,,,,,
712Z2#闸门开度反馈1,MD480,Float,1,RO,1000,,,,,,,,,,,
712Z1#闸门开度反馈2,MD484,Float,1,RO,1000,,,,,,,,,,,
712Z2#闸门开度反馈2,MD488,Float,1,RO,1000,,,,,,,,,,,
712Z1#闸门开度反馈3,MD492,Float,1,RO,1000,,,,,,,,,,,
712Z22#闸门开度反馈,MD496,Float,1,RO,1000,,,,,,,,,,,
712Z2闸门开度反馈,MD500,Float,1,RO,1000,,,,,,,,,,,
713Z21#闸门开度反馈,MD504,Float,1,RO,1000,,,,,,,,,,,
713Z22#闸门开度反馈,MD508,Float,1,RO,1000,,,,,,,,,,,
713Z2闸门开度反馈,MD512,Float,1,RO,1000,,,,,,,,,,,
713Z1#闸门开度反馈,MD516,Float,1,RO,1000,,,,,,,,,,,
713Z12#闸门开度反馈1,MD520,Float,1,RO,1000,,,,,,,,,,,
713Z11#闸门开度反馈,MD524,Float,1,RO,1000,,,,,,,,,,,
713Z12#闸门开度反馈,MD528,Float,1,RO,1000,,,,,,,,,,,
GL1频率反馈,MD532,Float,1,RO,1000,,,,,,,,,,,
产品仓1料位1,MD536,Float,1,RO,1000,,,,,,,,,,,
产品仓1料位2,MD540,Float,1,RO,1000,,,,,,,,,,,
产品仓2料位1,MD544,Float,1,RO,1000,,,,,,,,,,,
产品仓2料位2,MD548,Float,1,RO,1000,,,,,,,,,,,
产品仓3料位1,MD552,Float,1,RO,1000,,,,,,,,,,,
产品仓3料位2,MD556,Float,1,RO,1000,,,,,,,,,,,
产品仓4料位1,MD560,Float,1,RO,1000,,,,,,,,,,,
产品仓4料位2,MD564,Float,1,RO,1000,,,,,,,,,,,
721Z开度反馈1,MD568,Float,1,RO,1000,,,,,,,,,,,
721Z开度反馈2,MD572,Float,1,RO,1000,,,,,,,,,,,
721Z开度反馈3,MD576,Float,1,RO,1000,,,,,,,,,,,
721Z开度反馈4,MD580,Float,1,RO,1000,,,,,,,,,,,
721Z开度反馈5,MD584,Float,1,RO,1000,,,,,,,,,,,
721Z开度反馈6,MD588,Float,1,RO,1000,,,,,,,,,,,
721Z开度反馈7,MD592,Float,1,RO,1000,,,,,,,,,,,
721Z开度反馈8,MD596,Float,1,RO,1000,,,,,,,,,,,
729Z开度反馈9,MD600,Float,1,RO,1000,,,,,,,,,,,
729Z开度反馈10,MD604,Float,1,RO,1000,,,,,,,,,,,
729Z开度反馈11,MD608,Float,1,RO,1000,,,,,,,,,,,
729Z开度反馈12,MD612,Float,1,RO,1000,,,,,,,,,,,
729Z开度反馈13,MD616,Float,1,RO,1000,,,,,,,,,,,
729Z开度反馈14,MD620,Float,1,RO,1000,,,,,,,,,,,
729Z开度反馈15,MD624,Float,1,RO,1000,,,,,,,,,,,
729Z开度反馈16,MD628,Float,1,RO,1000,,,,,,,,,,,
721频率反馈,MD632,Float,1,RO,1000,,,,,,,,,,,
722频率反馈,MD636,Float,1,RO,1000,,,,,,,,,,,
723开度反馈,MD640,Float,1,RO,1000,,,,,,,,,,,
724开度反馈,MD644,Float,1,RO,1000,,,,,,,,,,,
725开度反馈,MD648,Float,1,RO,1000,,,,,,,,,,,
726开度反馈,MD652,Float,1,RO,1000,,,,,,,,,,,
727开度反馈,MD656,Float,1,RO,1000,,,,,,,,,,,
728开度反馈,MD660,Float,1,RO,1000,,,,,,,,,,,
729频率反馈,MD664,Float,1,RO,1000,,,,,,,,,,,
730频率反馈,MD668,Float,1,RO,1000,,,,,,,,,,,
731频率反馈,MD672,Float,1,RO,1000,,,,,,,,,,,
732频率反馈,MD676,Float,1,RO,1000,,,,,,,,,,,
733开度反馈,MD680,Float,1,RO,1000,,,,,,,,,,,
734开度反馈,MD684,Float,1,RO,1000,,,,,,,,,,,
735开度反馈,MD688,Float,1,RO,1000,,,,,,,,,,,
736开度反馈,MD692,Float,1,RO,1000,,,,,,,,,,,
生活水箱,MD696,Float,1,RO,1000,,,,,,,,,,,
消防水池1,MD700,Float,1,RO,1000,,,,,,,,,,,
消防水池2,MD704,Float,1,RO,1000,,,,,,,,,,,
生活用水流量1,MD708,Float,1,RO,1000,,,,,,,,,,,
生活用水流量2,MD712,Float,1,RO,1000,,,,,,,,,,,
补充用水流量,MD716,Float,1,RO,1000,,,,,,,,,,,
314电流,MD720,Float,1,RO,1000,,,,,,,,,,,
314轴伸端轴温度,MD724,Float,1,RO,1000,,,,,,,,,,,
314非轴伸端轴温度,MD728,Float,1,RO,1000,,,,,,,,,,,
314定子A相温度,MD732,Float,1,RO,1000,,,,,,,,,,,
314定子B相温度,MD736,Float,1,RO,1000,,,,,,,,,,,
314定子C相温度,MD740,Float,1,RO,1000,,,,,,,,,,,
PT10 轴封水泵328,MD744,Float,1,RO,1000,,,,,,,,,,,
PT11 轴封水泵356,MD748,Float,1,RO,1000,,,,,,,,,,,
