Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Name,DB50:STRING20.16,String,1,RO,1000,,,,,,,,,,HMI当前用户,
111AL.带电,"DB185,D450.1",Boolean,1,RO,1000,,,,,,,,,,111AL风扇电机,
111AL.挂牌,"DB185,DBW518",Short,1,R/W,1000,,,,,,,,,,111AL风扇电机,
111aR.带电,"DB185,D504.1",Boolean,1,RO,1000,,,,,,,,,,111aR皮带热风机,
111aR.挂牌,"DB185,DBW578",Short,1,R/W,1000,,,,,,,,,,111aR皮带热风机,
111AZ.带电,"DB185,D414.1",Boolean,1,RO,1000,,,,,,,,,,111AZ制动电机,
111AZ.挂牌,"DB185,DBW478",Short,1,R/W,1000,,,,,,,,,,111AZ制动电机,
111BL.带电,"DB185,D432.1",Boolean,1,RO,1000,,,,,,,,,,111BL风扇电机,
111BL.挂牌,"DB185,DBW498",Short,1,R/W,1000,,,,,,,,,,111BL风扇电机,
111bR.带电,"DB185,D486.1",Boolean,1,RO,1000,,,,,,,,,,111bR皮带热风机,
111bR.挂牌,"DB185,DBW558",Short,1,R/W,1000,,,,,,,,,,111bR皮带热风机,
111BZ.带电,"DB185,D396.1",Boolean,1,RO,1000,,,,,,,,,,111BZ制动电机,
111BZ.挂牌,"DB185,DBW458",Short,1,R/W,1000,,,,,,,,,,111BZ制动电机,
113.带电,"DB185,D576.1",Boolean,1,RO,1000,,,,,,,,,,113电动葫芦,
113.挂牌,"DB185,DBW658",Short,1,R/W,1000,,,,,,,,,,113电动葫芦,
114.带电,"DB185,D468.1",Boolean,1,RO,1000,,,,,,,,,,114排污泵,
114.挂牌,"DB185,DBW538",Short,1,R/W,1000,,,,,,,,,,114排污泵,
11AP.带电,"DB185,D2952.1",Boolean,1,RO,1000,,,,,,,,,,11AP皮带检修电源,
11AP.挂牌,"DB185,DBW3298",Short,1,R/W,1000,,,,,,,,,,11AP皮带检修电源,
11M1X_1.带电,"DB185,D3114.1",Boolean,1,RO,1000,,,,,,,,,,11M1X储煤场下照明电源1,
11M1X_1.挂牌,"DB185,DBW3478",Short,1,R/W,1000,,,,,,,,,,11M1X储煤场下照明电源1,
11M2X_1.带电,"DB185,D3096.1",Boolean,1,RO,1000,,,,,,,,,,11M2X储煤场上照明电源1,
11M2X_1.挂牌,"DB185,DBW3458",Short,1,R/W,1000,,,,,,,,,,11M2X储煤场上照明电源1,
121.带电,"DB185,D54.1",Boolean,1,RO,1000,,,,,,,,,,121转载皮带,
121.挂牌,"DB185,DBW78",Short,1,R/W,1000,,,,,,,,,,121转载皮带,
121Y.带电,"DB185,D594.1",Boolean,1,RO,1000,,,,,,,,,,121Y液压站,
121Y.挂牌,"DB185,DBW678",Short,1,R/W,1000,,,,,,,,,,121Y液压站,
122.带电,"DB185,D270.1",Boolean,1,RO,1000,,,,,,,,,,122转载皮带,
122.挂牌,"DB185,DBW318",Short,1,R/W,1000,,,,,,,,,,122转载皮带,
127.带电,"DB185,D1404.1",Boolean,1,RO,1000,,,,,,,,,,127原煤给煤机,
127.挂牌,"DB185,DBW1578",Short,1,R/W,1000,,,,,,,,,,127原煤给煤机,
127F.带电,"DB185,D1260.1",Boolean,1,RO,1000,,,,,,,,,,127F风扇电机,
127F.挂牌,"DB185,DBW1418",Short,1,R/W,1000,,,,,,,,,,127F风扇电机,
127z.带电,"DB185,D522.1",Boolean,1,RO,1000,,,,,,,,,,127z闸板,
127z.挂牌,"DB185,DBW598",Short,1,R/W,1000,,,,,,,,,,127z闸板,
128.带电,"DB185,D1422.1",Boolean,1,RO,1000,,,,,,,,,,128原煤给煤机,
128.挂牌,"DB185,DBW1598",Short,1,R/W,1000,,,,,,,,,,128原煤给煤机,
128F.带电,"DB185,D1278.1",Boolean,1,RO,1000,,,,,,,,,,128F风扇电机,
128F.挂牌,"DB185,DBW1438",Short,1,R/W,1000,,,,,,,,,,128F风扇电机,
129.带电,"DB185,D1440.1",Boolean,1,RO,1000,,,,,,,,,,129原煤给煤机,
129.挂牌,"DB185,DBW1618",Short,1,R/W,1000,,,,,,,,,,129原煤给煤机,
129F.带电,"DB185,D1296.1",Boolean,1,RO,1000,,,,,,,,,,129F风扇电机,
129F.挂牌,"DB185,DBW1458",Short,1,R/W,1000,,,,,,,,,,129F风扇电机,
129z.带电,"DB185,D540.1",Boolean,1,RO,1000,,,,,,,,,,129z闸板,
129z.挂牌,"DB185,DBW618",Short,1,R/W,1000,,,,,,,,,,129z闸板,
130.带电,"DB185,D1458.1",Boolean,1,RO,1000,,,,,,,,,,130原煤给煤机,
130.挂牌,"DB185,DBW1638",Short,1,R/W,1000,,,,,,,,,,130原煤给煤机,
130F.带电,"DB185,D1314.1",Boolean,1,RO,1000,,,,,,,,,,130F风扇电机,
130F.挂牌,"DB185,DBW1478",Short,1,R/W,1000,,,,,,,,,,130F风扇电机,
131.带电,"DB185,D1476.1",Boolean,1,RO,1000,,,,,,,,,,131原煤给煤机,
131.挂牌,"DB185,DBW1658",Short,1,R/W,1000,,,,,,,,,,131原煤给煤机,
131F.带电,"DB185,D1332.1",Boolean,1,RO,1000,,,,,,,,,,131F风扇电机,
131F.挂牌,"DB185,DBW1498",Short,1,R/W,1000,,,,,,,,,,131F风扇电机,
131z.带电,"DB185,D558.1",Boolean,1,RO,1000,,,,,,,,,,131z闸板,
131z.挂牌,"DB185,DBW638",Short,1,R/W,1000,,,,,,,,,,131z闸板,
132.带电,"DB185,D1494.1",Boolean,1,RO,1000,,,,,,,,,,132原煤给煤机,
132.挂牌,"DB185,DBW1678",Short,1,R/W,1000,,,,,,,,,,132原煤给煤机,
132F.带电,"DB185,D1350.1",Boolean,1,RO,1000,,,,,,,,,,132F风扇电机,
132F.挂牌,"DB185,DBW1518",Short,1,R/W,1000,,,,,,,,,,132F风扇电机,
141.带电,"DB185,D72.1",Boolean,1,RO,1000,,,,,,,,,,141转载皮带,
141.挂牌,"DB185,DBW98",Short,1,R/W,1000,,,,,,,,,,141转载皮带,
141L.带电,"DB185,D288.1",Boolean,1,RO,1000,,,,,,,,,,141L拉紧装置,
141L.挂牌,"DB185,DBW338",Short,1,R/W,1000,,,,,,,,,,141L拉紧装置,
152.带电,"DB185,D198.1",Boolean,1,RO,1000,,,,,,,,,,152电动葫芦,
152.挂牌,"DB185,DBW238",Short,1,R/W,1000,,,,,,,,,,152电动葫芦,
153.带电,"DB185,D324.1",Boolean,1,RO,1000,,,,,,,,,,153电动葫芦,
153.挂牌,"DB185,DBW378",Short,1,R/W,1000,,,,,,,,,,153电动葫芦,
154.带电,"DB185,D216.1",Boolean,1,RO,1000,,,,,,,,,,154电动葫芦,
154.挂牌,"DB185,DBW258",Short,1,R/W,1000,,,,,,,,,,154电动葫芦,
155.带电,"DB185,D234.1",Boolean,1,RO,1000,,,,,,,,,,155电动葫芦,
155.挂牌,"DB185,DBW278",Short,1,R/W,1000,,,,,,,,,,155电动葫芦,
156.带电,"DB185,D648.1",Boolean,1,RO,1000,,,,,,,,,,156排污泵,
156.挂牌,"DB185,DBW738",Short,1,R/W,1000,,,,,,,,,,156排污泵,
157.带电,"DB185,D630.1",Boolean,1,RO,1000,,,,,,,,,,157排污泵,
157.挂牌,"DB185,DBW718",Short,1,R/W,1000,,,,,,,,,,157排污泵,
1ACL_Z.带电,"DB185,D2628.1",Boolean,1,RO,1000,,,,,,,,,,1ACL-Z应急照明电源,
1ACL_Z.挂牌,"DB185,DBW2938",Short,1,R/W,1000,,,,,,,,,,1ACL-Z应急照明电源,
1ACL_Z1.带电,"DB185,D3006.1",Boolean,1,RO,1000,,,,,,,,,,1ACL-Z应急照明电源1,
1ACL_Z1.挂牌,"DB185,DBW3358",Short,1,R/W,1000,,,,,,,,,,1ACL-Z应急照明电源1,
1AL_1.带电,"DB185,D2736.1",Boolean,1,RO,1000,,,,,,,,,,1AL-1照明总电源,
1AL_1.挂牌,"DB185,DBW3058",Short,1,R/W,1000,,,,,,,,,,1AL-1照明总电源,
